hostel_name,distance,facilities,url
Urbany Hostel London, 5.4km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Urbany-Hostel-London/London/303427?from=2022-09-28&to=2022-10-01&guests=2
Safestay London Elephant & Castle, 1.7km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Safestay-London-Elephant-Castle/London/55551?from=2022-09-28&to=2022-10-01&guests=2
Saint James Backpackers, 5.5km from city centre,"Free WiFi,Free Breakfast,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Saint-James-Backpackers/London/70909?from=2022-09-28&to=2022-10-01&guests=2
St Christopher's Oasis-Female Only, 1.8km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Oasis-Female-Only/London/504?from=2022-09-28&to=2022-10-01&guests=2
Selina Camden, 5.5km from city centre,Free WiFi,https://www.hostelworld.com/pwa/hosteldetails.php/Selina-Camden/London/310274?from=2022-09-28&to=2022-10-01&guests=2
Britannia Inn Hotel, 14.5km from city centre,"Free Breakfast,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Britannia-Inn-Hotel/London/47955?from=2022-09-28&to=2022-10-01&guests=2
City Hotel Carlton, 1.8km from city centre,,https://www.hostelworld.com/pwa/hosteldetails.php/City-Hotel-Carlton/London/27551?from=2022-09-28&to=2022-10-01&guests=2
Elmwood Hotel, 3.2km from city centre,,https://www.hostelworld.com/pwa/hosteldetails.php/Elmwood-Hotel/London/34338?from=2022-09-28&to=2022-10-01&guests=2
Kip Hotel, 6.8km from city centre,Free WiFi,https://www.hostelworld.com/pwa/hosteldetails.php/Kip-Hotel/London/266789?from=2022-09-28&to=2022-10-01&guests=2
London House Hotel, 5.3km from city centre,Free WiFi,https://www.hostelworld.com/pwa/hosteldetails.php/London-House-Hotel/London/529?from=2022-09-28&to=2022-10-01&guests=2
Tony's House Hotel, 4.3km from city centre,Free Breakfast,https://www.hostelworld.com/pwa/hosteldetails.php/Tony-s-House-Hotel/London/8503?from=2022-09-28&to=2022-10-01&guests=2
Hotel Shepherds Bush London, 7.6km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Hotel-Shepherds-Bush-London/London/308621?from=2022-09-28&to=2022-10-01&guests=2
Cranbrook Hotel, 14.8km from city centre,"Free Breakfast,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Cranbrook-Hotel/London/10144?from=2022-09-28&to=2022-10-01&guests=2
Hyde Park Court Hotel, 4.3km from city centre,"Free WiFi,Free Breakfast",https://www.hostelworld.com/pwa/hosteldetails.php/Hyde-Park-Court-Hotel/London/5107?from=2022-09-28&to=2022-10-01&guests=2
Park Hotel Essex, 24.1km from city centre,"Free Breakfast,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Park-Hotel-Essex/London/10143?from=2022-09-28&to=2022-10-01&guests=2
